Batch,Size (Tb)
660,0.03329104
494,1.28e-07
493,1.28e-07
697,0.008682976
698,0.007689824
699,0.0002752
542,1.28e-07
543,1.28e-07
540,1.28e-07
546,1.28e-07
402,4.039208016
401,4.070058336
400,4.03418416
549,1.28e-07
719,2.052222528
718,1.28e-07
717,0.027488912
715,1.28e-07
713,0.266364592
671,1.28e-07
710,0.46918416
378,4.312737712
535,0.000473104
373,0.045264288
375,0.2492748
374,0.144978224
377,4.435952832
376,0.004041584
595,0.0227968
709,0.493998976
597,0.039176736
599,0.006926208
706,0.005188224
707,0.030401312
700,0.000811376
395,4.194949456
394,4.182155632
399,4.176331888
398,4.256560992
366,17.623072032
d775,0.000305472
d778,4.6608e-05
245,2.24e-07
244,2.24e-07
385,13.620666784
386,13.682716816
249,0.014377584
643,0.003459376
647,0.018264832
646,0.019182064
649,0.000686688
648,0.009952256
514,0.014382576
623,2.45094112
627,0.06322744
d769,0.000666688
629,0.059371056
628,0.0655424
602,0.005505696
657,0.002075424
733,0.00012848
732,1.28e-07
735,3.499408672
737,0.000209088
554,1.28e-07
739,6.4e-08
403,4.067173744
500,4.8e-08
659,0.024830064
630,0.080964848
468,0.032529296
560,0.005197248
561,0.013426688
545,6.4e-08
564,0.008240768
738,6.4e-08
547,1.28e-07
726,6.4e-08
727,6.4e-08
724,6.4e-08
725,6.4e-08
722,0.000297392
720,0.47864224
721,0.730526576
729,0.00015384
740,0.01508456
d789,0.000201696
d788,0.00037344
555,0.002108672
d786,0.000176128
d785,0.000305424
d784,4.8e-08
609,1.28e-07
553,0.003877792
552,0.001577312
618,0.005526448
612,0.079522272
613,0.052977376
610,1.28e-07
611,0.088371088
614,0.052985152
615,0.052977376
685,0.010806816
684,1.28e-07
